TARGET	ratio_exclam_in_title	fake_aggregate	good_aggregate	risk_word	safe_word
0.0	0.0	15307.0	13353.0	0.38333333333333336	0.38333333333333336
0.0	0.0	17645.0	13501.0	0.998003992015968	0.5178894927536232
1.0	0.0	14885.0	11657.0	0.7619047619047619	0.5337935835702269
0.0	0.0	10856.0	8833.0	0.7115384615384616	0.5337935835702269
1.0	0.0	5009.0	10715.0	1.0	0.1886700705081449
0.0	0.06666666666666667	9360.0	8328.0	0.625	0.0
1.0	0.0	13871.0	17851.0	0.359375	0.0
0.0	0.0	10198.0	8975.0	0.6004618937644342	0.10526315789473684
1.0	0.0	14796.0	11371.0	0.21875	0.21875
0.0	0.0	9988.0	8807.0	0.5283018867924528	0.0
0.0	0.0	18944.0	14281.0	0.6222910216718266	0.36507936507936506
0.0	0.0	7901.0	10922.0	0.6166306695464363	0.1886700705081449
0.0	0.0	10947.0	9370.0	0.5387596899224806	0.5337935835702269
1.0	0.0	11132.0	10309.0	0.5387596899224806	0.0
1.0	0.0	12144.0	10604.0	0.5	0.45454545454545453
1.0	0.0	10929.0	15019.0	0.34285714285714286	0.0
0.0	0.0	10761.0	9557.0	0.6785714285714286	0.30303030303030304
1.0	0.0	9475.0	8082.0	1.0	0.06666666666666667
1.0	0.0	13326.0	10266.0	0.9086021505376344	0.5337935835702269
0.0	0.0	17430.0	13857.0	0.5387596899224806	0.45454545454545453
0.0	0.0	12281.0	11123.0	0.2222222222222222	0.0
0.0	0.0	13235.0	11079.0	0.3548387096774194	0.0
1.0	0.0	14403.0	11608.0	0.375	0.21875
0.0	0.0	13325.0	11077.0	0.6222910216718266	0.4838709677419355
1.0	0.0	13531.0	10020.0	0.780952380952381	0.5337935835702269
0.0	0.0	4577.0	9676.0	0.6166306695464363	0.027777777777777776
0.0	0.0	13665.0	10776.0	0.6666666666666666	0.24107142857142858
1.0	0.0	16825.0	13572.0	0.5945945945945946	0.0
1.0	0.0	3697.0	10182.0	0.4144144144144144	0.0
1.0	0.0	12607.0	10867.0	0.6166306695464363	0.36231884057971014
1.0	0.0	12895.0	11392.0	0.6574257425742575	0.0
1.0	0.0	11520.0	9730.0	0.18055555555555555	0.17391304347826086
0.0	0.0	2826.0	9428.0	0.3854166666666667	0.0
0.0	0.0	13957.0	12095.0	0.6222044728434505	0.48823155216284986
0.0	0.0	15704.0	13971.0	0.5387596899224806	0.45840130505709625
0.0	0.0	10313.0	9132.0	0.6222910216718266	0.0
0.0	0.0	10893.0	8860.0	0.6512322628827483	0.5337935835702269
0.0	0.0	14383.0	10753.0	0.6666666666666666	0.13157894736842105
0.0	0.0	11658.0	10025.0	0.5714285714285714	0.5337935835702269
0.0	0.0	11126.0	9456.0	0.7222222222222222	0.5337935835702269
0.0	0.0	13694.0	11911.0	0.3951612903225806	0.3951612903225806
0.0	0.0	11091.0	8568.0	0.7064676616915423	0.3235294117647059
0.0	0.0	11228.0	9441.0	0.5652173913043478	0.4515539305301645
1.0	0.0	11621.0	9317.0	0.3108108108108108	0.3108108108108108
0.0	0.0	16477.0	12329.0	0.6166306695464363	0.5337935835702269
1.0	0.0	14168.0	13424.0	0.7172897196261683	0.1998607242339833
0.0	0.0	14595.0	11291.0	1.0	0.5327788649706457
1.0	0.0	12863.0	10862.0	0.8456375838926175	0.5337935835702269
1.0	0.0	11964.0	9892.0	0.6574257425742575	0.28
1.0	0.0	7991.0	15099.0	0.25301204819277107	0.03882783882783883
0.0	0.0	13171.0	10172.0	0.625	0.39344262295081966
1.0	0.0	9896.0	8989.0	0.5384615384615384	0.18877551020408162
1.0	0.0	11013.0	9873.0	0.22549019607843138	0.0
1.0	0.0	9643.0	8891.0	0.4025974025974026	0.010526315789473684
1.0	0.0	18836.0	16852.0	0.34545454545454546	0.0
0.0	0.0	13943.0	11775.0	0.6512322628827483	0.21568627450980393
1.0	0.0	11211.0	9984.0	0.5338345864661654	0.08056872037914692
1.0	0.0	9514.0	8206.0	0.7534246575342466	0.23809523809523808
0.0	0.0	13013.0	10103.0	0.34545454545454546	0.34545454545454546
1.0	0.0	9623.0	8816.0	0.6380368098159509	0.0
0.0	0.0	16827.0	13735.0	0.2558139534883721	0.21739130434782608
0.0	0.0	12346.0	10928.0	0.34444444444444444	0.0
0.0	0.0	12889.0	11185.0	0.6222910216718266	0.0
0.0	0.0	12701.0	14885.0	0.22549019607843138	0.0
1.0	0.0	11305.0	10002.0	0.15165876777251186	0.15165876777251186
1.0	0.0	10807.0	9889.0	0.13333333333333333	0.0
