,account_id,post_id,Category,Page,Post URL,Date Published,Post Type,Rating,Debate,share_count,reaction_count,comment_count,Heading
0,184096565021911,1035057923259100,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035057923259100,2016-09-19,video,no factual content,,,146.0,15.0,ABC News Politics compartió el video de... - ABC News Politics | Facebook
1,184096565021911,1035269309904628,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035269309904628,2016-09-19,link,mostly true,,1.0,33.0,34.0,Can either candidate move the needle in... - ABC News Politics | Facebook
2,184096565021911,1035305953234297,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035305953234297,2016-09-19,link,mostly true,,34.0,63.0,27.0,"BREAKING: Ahmad Rahami, 28, wanted in... - ABC News Politics | Facebook"
3,184096565021911,1035322636565962,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035322636565962,2016-09-19,link,mostly true,,35.0,170.0,86.0,"Donald J. Trump: ""Do we have a choice?... - ABC News Politics | Facebook"
4,184096565021911,1035352946562931,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035352946562931,2016-09-19,video,mostly true,,568.0,3188.0,2815.0,WATCH LIVE: Hillary Clinton holds news... - ABC News Politics | Facebook
5,184096565021911,1035366579894901,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035366579894901,2016-09-19,link,mostly true,,23.0,28.0,21.0,LATEST: Authorities now believe the... - ABC News Politics | Facebook
6,184096565021911,1035411183223774,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035411183223774,2016-09-19,video,mostly true,,46.0,409.0,105.0,Hillary Clinton responds to weekend... - ABC News Politics | Facebook
7,184096565021911,1035430716555154,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035430716555154,2016-09-19,link,mostly true,,7.0,62.0,64.0,Donald J. Trump's surrogates and leading... - ABC News Politics | Facebook
8,184096565021911,1035451683219724,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035451683219724,2016-09-19,link,mostly true,,7.0,39.0,6.0,BREAKING: Man believed to be person... - ABC News Politics | Facebook
9,184096565021911,1035453279886231,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035453279886231,2016-09-19,video,mostly true,,152.0,278.0,59.0,President Obama: Toughness and... - ABC News Politics | Facebook
10,184096565021911,1035456253219267,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035456253219267,2016-09-19,link,mostly true,,8.0,29.0,14.0,"LATEST: Ahmad Rahami, wanted in... - ABC News Politics | Facebook"
11,184096565021911,1035489746549251,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035489746549251,2016-09-19,link,mostly true,,,10.0,0.0,Warplanes target the besieged Syrian... - ABC News Politics | Facebook
12,184096565021911,1035491416549084,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035491416549084,2016-09-19,video,mostly true,,37.0,507.0,164.0,Hillary Clinton: Arrest of suspect... - ABC News Politics | Facebook
13,184096565021911,1035503133214579,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035503133214579,2016-09-19,link,mostly true,,4.0,23.0,2.0,The Syrian military declared today that... - ABC News Politics | Facebook
14,184096565021911,1035527713212121,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035527713212121,2016-09-19,video,mostly true,,10.0,85.0,29.0,New York City Mayor Bill de Blasio on... - ABC News Politics | Facebook
15,184096565021911,1035532526544973,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035532526544973,2016-09-19,link,mostly true,,10.0,41.0,14.0,A U.S. official told ABC News Rahami... - ABC News Politics | Facebook
16,184096565021911,1035558749875684,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035558749875684,2016-09-19,video,no factual content,,3.0,9.0,3.0,TONIGHT: Matthew Dowd and LZ Granderson... - ABC News Politics | Facebook
17,184096565021911,1035572169874342,mainstream,ABC News Politics,https://www.facebook.com/ABCNewsPolitics/posts/1035572169874342,2016-09-19,video,mostly true,,,16.0,20.0,ABC News Politics compartió el video de... - ABC News Politics | Facebook
